gutenberg_id,title,author,author_gender,publication_year,split,seed_source,notes
514,Little Women,Louisa May Alcott,female,1868,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
16,Peter Pan,James M. Barrie,male,1902,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
517,The Emerald City of Oz,L. Frank Baum,male,1910,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
11757,The Velveteen Rabbit,Margery Williams,female,1922,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
8994,What Katy Did,Susan Coolidge,female,1872,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
18077,"We and the World, Part I",Juliana Horatia Ewing,female,1885,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
41,Sleepy Hollow,Washington Irving,male,1820,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
236,The Jungle Book,Rudyard Kipling,male,1894,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
120,Treasure Island,Robert Louis Stevenson,male,1883,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
2770,Five Little Peppers and How They Grew,Margaret Sidney,female,1881,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
45,Anne of Green Gables,Lucy Maud Montgomery,female,1908,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
4356,Sky Island,L. Frank Baum,male,1912,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
5615,The Pink Fairy Book,Various,mixed,1889,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
9214,The White Old Maid,Nathaniel Hawthorne,male,1837,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
6471,The Children of the New Forest,Captain Marryat,male,1847,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
5302,The Land of the Blue Flower,Frances Hodgson Burnett,female,1909,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
5420,Rab and His Friends,John Brown,male,1859,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
12603,The Adventures of Old Mr. Toad,Thornton W. Burgess,male,1916,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
18614,At the Back of the North Wind,Elizabeth Lewis,female,1914,legacy-core,Corpus of gold docx,Retain docx attribution for reproducibility note
21935,Prince Prigio,Andrew Lang,male,1889,legacy-core,Corpus of gold docx,Canonical 2016 core corpus
11,Alice's Adventures in Wonderland,Lewis Carroll,male,1865,expanded-core,Modern extension,Commercial-friendly public domain expansion
55,The Wonderful Wizard of Oz,L. Frank Baum,male,1900,expanded-core,Modern extension,Commercial-friendly public domain expansion
113,The Secret Garden,Frances Hodgson Burnett,female,1911,expanded-core,Modern extension,Commercial-friendly public domain expansion
289,The Wind in the Willows,Kenneth Grahame,male,1908,expanded-core,Modern extension,Commercial-friendly public domain expansion
498,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,female,1903,expanded-core,Modern extension,Commercial-friendly public domain expansion
