gutenberg_id,title,author,author_gender,publication_year,split,seed_source,notes,source_url,local_path,sha256,character_count,word_count,unique_word_count,sentence_count,afinn_raw,afinn_per_10k_tokens,type_token_ratio
11,Alice's Adventures in Wonderland,Lewis Carroll,male,1865,expanded-core,Modern extension,Commercial-friendly public domain expansion,https://www.gutenberg.org/ebooks/11,data/raw/expanded/11.txt,30cb173f290507616869401e500daa37fab3c23cf9dd059f2fc36d2554201fbb,144599,27427,2575,1655,144,52.5,0.0939
55,The Wonderful Wizard of Oz,L. Frank Baum,male,1900,expanded-core,Modern extension,Commercial-friendly public domain expansion,https://www.gutenberg.org/ebooks/55,data/raw/expanded/55.txt,51dc28e7abbc521a3f2654da4092c06f27f415b30f636c6a4622965ee83a873c,207817,40000,2933,2256,898,224.5,0.0733
498,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,female,1903,expanded-core,Modern extension,Commercial-friendly public domain expansion,https://www.gutenberg.org/ebooks/498,data/raw/expanded/498.txt,7cba236c10dc76bb6c043973fb0a328309e211b2f20ddda93a1c41cfa8f775b8,411269,74256,7826,3781,2246,302.47,0.1054
289,The Wind in the Willows,Kenneth Grahame,male,1908,expanded-core,Modern extension,Commercial-friendly public domain expansion,https://www.gutenberg.org/ebooks/289,data/raw/expanded/289.txt,dba5a852f7dc9950e77c213474bf13db91a7d65bb98b4086fe6661944ad3a646,324791,60770,6471,3275,1079,177.55,0.1065
113,The Secret Garden,Frances Hodgson Burnett,female,1911,expanded-core,Modern extension,Commercial-friendly public domain expansion,https://www.gutenberg.org/ebooks/113,data/raw/expanded/113.txt,1ae3e1235f1e549ef67b004eae6c80ae1112384471e3578bcdd8a589bae9d574,428650,83165,4817,6363,2099,252.39,0.0579
41,Sleepy Hollow,Washington Irving,male,1820,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/41,data/raw/core/41.txt,4d8a70fc9a722ef05c1f9c3c96e5885f3723aef1fd4cfee23bd2fb1d21818953,69758,12376,3196,354,277,223.82,0.2582
9214,The White Old Maid,Nathaniel Hawthorne,male,1837,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/9214,data/raw/core/9214.txt,52785c25cbe96593a21a3ef60583ffd6c6579072e2ec0290ea68da0f048f3309,22614,3965,1220,197,-95,-239.6,0.3077
6471,The Children of the New Forest,Captain Marryat,male,1847,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/6471,data/raw/core/6471.txt,3d415219467cee39df355afcddc1da0ea25dc71ea6b148d926c7760b60c697eb,609474,114549,5916,5681,1450,126.58,0.0516
5420,Rab and His Friends,John Brown,male,1859,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/5420,data/raw/core/5420.txt,c4a0c9daead5774f82240629de5ef79c01639f138306c22d6ba2114643b47417,35608,6541,1749,317,113,172.76,0.2674
514,Little Women,Louisa May Alcott,female,1868,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/514,data/raw/core/514.txt,80a4cb85bf7e1ab0e68cb50ff068c47eda588e8cf46fa41b75e7d514c3c78cdc,1007151,191238,10742,10213,10680,558.47,0.0562
8994,What Katy Did,Susan Coolidge,female,1872,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/8994,data/raw/core/8994.txt,2cec77275ebce19d8aca0fcacbfe0838c28d31f488c88f8da6f6c0fcdae00097,268055,50038,4682,3610,1387,277.19,0.0936
2770,Five Little Peppers and How They Grew,Margaret Sidney,female,1881,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/2770,data/raw/core/2770.txt,6a8f5f4fc4fcfc22c7cac25b08b98d681572c558c7e92113c0cc0b1299a55d54,388816,70003,4946,5172,1884,269.13,0.0707
120,Treasure Island,Robert Louis Stevenson,male,1883,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/120,data/raw/core/120.txt,390254fe16f70dfc79d2e605b168b3db8bd8e90470c57b772a8777cf8d33c27c,364519,70496,5903,3950,155,21.99,0.0837
18077,"We and the World, Part I",Juliana Horatia Ewing,female,1885,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/18077,data/raw/core/18077.txt,8630ba3d15e67637dc617e5b32169a3df3b7cd67630a881ebf3c97b356133d71,265148,49972,6037,2297,631,126.27,0.1208
21935,Prince Prigio,Andrew Lang,male,1889,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/21935,data/raw/core/21935.txt,a4decb2b0dd337cc74593e55d16a7aef5520e62d9b061e859bf65de0dbda2c28,100044,18417,2756,1018,289,156.92,0.1496
5615,The Pink Fairy Book,Various,mixed,1889,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/5615,data/raw/core/5615.txt,74825752eec4f2914298958405dd2e4c3fe7c99b88363e5d8d20f32397c5bc52,511128,99703,5144,5179,1578,158.27,0.0516
236,The Jungle Book,Rudyard Kipling,male,1894,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/236,data/raw/core/236.txt,423206d3d09b19db759a703522732b5bf22ec9a3099cc15fbc163955b56837d9,273029,52346,4581,3215,-559,-106.79,0.0875
16,Peter Pan,James M. Barrie,male,1902,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/16,data/raw/core/16.txt,e0545e7c2ee89e8ff7891eeeee5f0767915c4aef744de5dfffefd7086e201447,255583,48036,4819,3367,176,36.64,0.1003
45,Anne of Green Gables,Lucy Maud Montgomery,female,1908,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/45,data/raw/core/45.txt,5757f3d281894b5e403e7c8feecf67ec8b6b1d641709334fa752194cf9cbdc7a,561143,107151,7419,7399,3057,285.3,0.0692
5302,The Land of the Blue Flower,Frances Hodgson Burnett,female,1909,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/5302,data/raw/core/5302.txt,265a88a9741b536db29a6ee04f6704bb2ab2d75bc5849e432e33fe32dfa686f6,41079,7785,1379,387,164,210.66,0.1771
517,The Emerald City of Oz,L. Frank Baum,male,1910,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/517,data/raw/core/517.txt,22f24cac2899a7cf9e5507cf6a5ae1fbf5ee7b157973ce24a8576816264b4ca4,298278,53995,4841,3563,1411,261.32,0.0897
4356,Sky Island,L. Frank Baum,male,1912,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/4356,data/raw/core/4356.txt,6fc8daa229e746a8a7640408334b5f3d8a5ea8e43c5cdec83d4072810e6f3176,303840,55354,4814,3532,1015,183.37,0.087
18614,At the Back of the North Wind,Elizabeth Lewis,female,1914,legacy-core,Corpus of gold docx,Retain docx attribution for reproducibility note,https://www.gutenberg.org/ebooks/18614,data/raw/core/18614.txt,d5922accdc4544f32d186ca00cd52ee988003ce97a3502b5f0803882ccaffdd8,137598,26737,2402,2086,1156,432.36,0.0898
12603,The Adventures of Old Mr. Toad,Thornton W. Burgess,male,1916,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/12603,data/raw/core/12603.txt,2a00d32fefde61c6ca4746d431dc4d7969632b28d0de126a3805daabcd6f28cc,25111,4172,1135,872,-36,-86.29,0.2721
11757,The Velveteen Rabbit,Margery Williams,female,1922,legacy-core,Corpus of gold docx,Canonical 2016 core corpus,https://www.gutenberg.org/ebooks/11757,data/raw/core/11757.txt,0b69a17056395e68427074c9bf3c2a3a1b93ea9ab92ade3177ac645f9c985cca,21859,3990,888,247,129,323.31,0.2226
