path,extension,bytes,category,usage_role
AFINN-111.txt,.txt,28093,auxiliary-validation,misc
Corpus of gold-2.docx,.docx,14262,auxiliary-validation,provenance-or-media
Corpus of gold.docx,.docx,14262,auxiliary-validation,provenance-or-media
Important Book R.pdf,.pdf,6049903,auxiliary-validation,provenance-or-media
LancsBox/corpora/Climate_Change/GRD_2011-01-01000953.txt,.txt,1942,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-01-01000954.txt,.txt,1431,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-01-01000955.txt,.txt,1250,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-01-10000680.txt,.txt,1131,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-02-24001079.txt,.txt,1258,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-02-26001038.txt,.txt,1804,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-02-26001039.txt,.txt,2857,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-02-26001040.txt,.txt,1675,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002380.txt,.txt,240,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002381.txt,.txt,3619,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002382.txt,.txt,1680,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002383.txt,.txt,754,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002384.txt,.txt,465,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002385.txt,.txt,1658,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-14002386.txt,.txt,724,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-22002061.txt,.txt,4710,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-03-22002062.txt,.txt,2088,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-19003757.txt,.txt,1102,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-19003758.txt,.txt,1013,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-19003759.txt,.txt,146,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-20003736.txt,.txt,537,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-20003737.txt,.txt,11785,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-20003738.txt,.txt,2616,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-20003739.txt,.txt,1392,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-05-20003740.txt,.txt,679,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006043.txt,.txt,1478,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006044.txt,.txt,627,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006045.txt,.txt,467,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006046.txt,.txt,258,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006047.txt,.txt,1401,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006048.txt,.txt,217,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-07-02006049.txt,.txt,9229,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-08-26006200.txt,.txt,5257,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-08-26006201.txt,.txt,1147,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-08-26006202.txt,.txt,984,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-08-27006175.txt,.txt,1361,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/GRD_2011-08-27006176.txt,.txt,7639,auxiliary-validation,reference-corpora
