title,split,mean_score,min_score,max_score,n_windows,backend
Alice's Adventures in Wonderland,expanded-core,0.005250382628811761,-0.0074365704286964126,0.014435695538057743,12,afinn-fallback
Anne of Green Gables,legacy-core,0.02853189807308221,0.00425531914893617,0.0531330568321937,12,afinn-fallback
At the Back of the North Wind,legacy-core,0.04323227591373812,0.010767160161507403,0.07940780619111709,12,afinn-fallback
Five Little Peppers and How They Grew,legacy-core,0.02691168799883645,0.0066906845084920225,0.053822420294823446,12,afinn-fallback
Little Women,legacy-core,0.05584723670304249,0.044487670201418084,0.074822672776348,12,afinn-fallback
Peter Pan,legacy-core,0.0036639187276209504,-0.02398201348988259,0.024231826130402197,12,afinn-fallback
Prince Prigio,legacy-core,0.015697015957793634,-0.020195439739413682,0.057980456026058634,12,afinn-fallback
Rab and His Friends,legacy-core,0.017202709025138933,-0.038461538461538464,0.06593406593406594,12,afinn-fallback
Rebecca of Sunnybrook Farm,expanded-core,0.030246714070243482,0.01098901098901099,0.041047188106011635,12,afinn-fallback
Sky Island,legacy-core,0.018337061258849856,-0.007587253414264037,0.04313895512681552,12,afinn-fallback
Sleepy Hollow,legacy-core,0.022382711563307494,-0.02422480620155039,0.05813953488372093,12,afinn-fallback
The Adventures of Old Mr. Toad,legacy-core,-0.008629043036621225,-0.028735632183908046,0.011494252873563218,12,afinn-fallback
The Children of the New Forest,legacy-core,0.012658739575644453,-0.008066205740624345,0.032160067043787974,12,afinn-fallback
The Emerald City of Oz,legacy-core,0.026131751328636755,-0.0026666666666666666,0.06355555555555556,12,afinn-fallback
The Jungle Book,legacy-core,-0.010676509370534831,-0.03506761402704561,0.012606005042402018,12,afinn-fallback
The Land of the Blue Flower,legacy-core,0.02105684541272514,-0.03852080123266564,0.08782742681047766,12,afinn-fallback
The Pink Fairy Book,legacy-core,0.015826629219749415,-0.004814057046576002,0.030689613671922012,12,afinn-fallback
The Secret Garden,expanded-core,0.025239848749258286,-0.0014427932477276007,0.04559226662819218,12,afinn-fallback
The Velveteen Rabbit,legacy-core,0.03231442451625938,-0.006006006006006006,0.06006006006006006,12,afinn-fallback
The White Old Maid,legacy-core,-0.023922861263411786,-0.08761329305135952,0.0634441087613293,12,afinn-fallback
The Wind in the Willows,expanded-core,0.017755935124945117,-0.0063178677196446195,0.03593287265547877,12,afinn-fallback
The Wonderful Wizard of Oz,expanded-core,0.022456332545878078,-0.013797240551889621,0.054119061936259774,12,afinn-fallback
Treasure Island,legacy-core,0.0021990840904505976,-0.025191489361702128,0.03676595744680851,12,afinn-fallback
"We and the World, Part I",legacy-core,0.012629670583653234,-0.024489795918367346,0.034333733493397356,12,afinn-fallback
What Katy Did,legacy-core,0.027720079214938992,-0.009112709832134292,0.06690647482014389,12,afinn-fallback
