title,split,window,score
Alice's Adventures in Wonderland,expanded-core,1,0.014435695538057743
Alice's Adventures in Wonderland,expanded-core,2,0.004811898512685914
Alice's Adventures in Wonderland,expanded-core,3,0.013560804899387576
Alice's Adventures in Wonderland,expanded-core,4,0.009623797025371828
Alice's Adventures in Wonderland,expanded-core,5,0.0021872265966754157
Alice's Adventures in Wonderland,expanded-core,6,0.0017497812773403325
Alice's Adventures in Wonderland,expanded-core,7,0.006561679790026247
Alice's Adventures in Wonderland,expanded-core,8,0.01268591426071741
Alice's Adventures in Wonderland,expanded-core,9,-0.003937007874015748
Alice's Adventures in Wonderland,expanded-core,10,-0.0074365704286964126
Alice's Adventures in Wonderland,expanded-core,11,0.0030621172353455816
Alice's Adventures in Wonderland,expanded-core,12,0.005699254712845244
The Wonderful Wizard of Oz,expanded-core,1,0.01829634073185363
The Wonderful Wizard of Oz,expanded-core,2,0.028794241151769647
The Wonderful Wizard of Oz,expanded-core,3,0.0023995200959808036
The Wonderful Wizard of Oz,expanded-core,4,-0.010497900419916016
The Wonderful Wizard of Oz,expanded-core,5,0.03809238152369526
The Wonderful Wizard of Oz,expanded-core,6,0.03659268146370726
The Wonderful Wizard of Oz,expanded-core,7,-0.013797240551889621
The Wonderful Wizard of Oz,expanded-core,8,-0.0011997600479904018
The Wonderful Wizard of Oz,expanded-core,9,0.030293941211757647
The Wonderful Wizard of Oz,expanded-core,10,0.05098980203959208
The Wonderful Wizard of Oz,expanded-core,11,0.03539292141571686
The Wonderful Wizard of Oz,expanded-core,12,0.054119061936259774
Rebecca of Sunnybrook Farm,expanded-core,1,0.031512605042016806
Rebecca of Sunnybrook Farm,expanded-core,2,0.020523594053005818
Rebecca of Sunnybrook Farm,expanded-core,3,0.01098901098901099
Rebecca of Sunnybrook Farm,expanded-core,4,0.03733031674208145
Rebecca of Sunnybrook Farm,expanded-core,5,0.03329023917259211
Rebecca of Sunnybrook Farm,expanded-core,6,0.0321590174531351
Rebecca of Sunnybrook Farm,expanded-core,7,0.0370071105365223
Rebecca of Sunnybrook Farm,expanded-core,8,0.041047188106011635
Rebecca of Sunnybrook Farm,expanded-core,9,0.0321590174531351
Rebecca of Sunnybrook Farm,expanded-core,10,0.0370071105365223
Rebecca of Sunnybrook Farm,expanded-core,11,0.024078862314156433
Rebecca of Sunnybrook Farm,expanded-core,12,0.025856496444731737
The Wind in the Willows,expanded-core,1,0.029615004935834157
The Wind in the Willows,expanded-core,2,0.03376110562685094
The Wind in the Willows,expanded-core,3,-0.0063178677196446195
The Wind in the Willows,expanded-core,4,0.0011846001974333662
The Wind in the Willows,expanded-core,5,0.015004935834155972
The Wind in the Willows,expanded-core,6,0.010661401776900297
The Wind in the Willows,expanded-core,7,0.02211253701875617
The Wind in the Willows,expanded-core,8,0.02171767028627838
The Wind in the Willows,expanded-core,9,0.03593287265547877
The Wind in the Willows,expanded-core,10,0.015992102665350443
The Wind in the Willows,expanded-core,11,0.012833168805528134
The Wind in the Willows,expanded-core,12,0.020573689416419388
The Secret Garden,expanded-core,1,-0.0014427932477276007
The Secret Garden,expanded-core,2,0.024527485211369212
The Secret Garden,expanded-core,3,0.028567306305006493
The Secret Garden,expanded-core,4,0.03188573077477998
The Secret Garden,expanded-core,5,0.028711585629779254
The Secret Garden,expanded-core,6,0.017457798297503966
The Secret Garden,expanded-core,7,0.02149761939114125
The Secret Garden,expanded-core,8,0.009522435435002164
