title,split,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
Alice's Adventures in Wonderland,expanded-core,3.068726262927343e-05,3.071723542627358e-05,3.066600654259885e-05,0.9998465978278692,3.0661413473967606e-05,3.067025405854038e-05
The Wonderful Wizard of Oz,expanded-core,1.9554479056970416e-05,1.95705916451509e-05,1.959432402602031e-05,0.9999021835724489,1.9545327608667062e-05,1.955170521431474e-05
Rebecca of Sunnybrook Farm,expanded-core,8.750536058620932e-06,0.9972677925048399,8.74769794202822e-06,8.74506496414191e-06,8.745609203711633e-06,0.0026972185869917134
The Wind in the Willows,expanded-core,1.1171563239971477e-05,1.1161961383581283e-05,1.1185690548591979e-05,1.115193370149817e-05,1.116180309876546e-05,0.9999441670480277
The Secret Garden,expanded-core,0.9903951073177771,1.0165740994689473e-05,0.009564264305128245,1.0151326043219158e-05,1.0148078237123689e-05,1.0163231819575633e-05
Sleepy Hollow,legacy-core,0.10041972131025505,0.3141249623132348,0.04874764689907979,4.513165536975337e-05,0.27113740773631145,0.2655251300857493
The White Old Maid,legacy-core,0.11447496776274252,0.6667730794094969,0.12405379226077667,0.00014851391459694862,0.09440040572020265,0.00014924093218420255
The Children of the New Forest,legacy-core,7.2098780028107425e-06,7.2166416073442676e-06,7.2079479367459e-06,7.201353643419711e-06,0.9999639606853282,7.2034934814355944e-06
Rab and His Friends,legacy-core,0.27883646284537705,0.3815850729364206,0.07577604866898384,0.00011167809962959464,0.26357884987301494,0.00011188757657395847
Little Women,legacy-core,3.7274644814094224e-06,0.9999813646114192,3.7291769539164337e-06,3.7215102638838187e-06,3.7274317430080647e-06,3.7298051386203145e-06
What Katy Did,legacy-core,1.4878454364850928e-05,0.44471716813377005,0.5552233720434459,1.4844263310610682e-05,1.4859425634980187e-05,1.4877679473629264e-05
Five Little Peppers and How They Grew,legacy-core,1.0261828368926505e-05,1.0282940691242291e-05,1.0262399907121747e-05,1.024024175070356e-05,0.9999486853431473,1.026724613466454e-05
Treasure Island,legacy-core,0.9999455806879097,1.0881660725916814e-05,1.0902708061557918e-05,1.0875388627213039e-05,1.08841116841891e-05,1.0875442991470399e-05
"We and the World, Part I",legacy-core,0.7368268769158813,0.250725735278942,1.4363855021816387e-05,1.4335750214077287e-05,1.437930960145613e-05,0.012404308890339187
Prince Prigio,legacy-core,0.6033683734315567,0.32449674060332867,0.02824766717673521,0.043803926266262,4.1637946967925056e-05,4.165457514937451e-05
The Pink Fairy Book,legacy-core,0.0032081442884532544,0.8629092823029133,0.08966065615369265,0.04420380697390893,9.060392130550583e-06,9.049888901452536e-06
The Jungle Book,legacy-core,1.4185800228276473e-05,1.4165648875019568e-05,0.999929131727263,1.4176882962749024e-05,1.4177105936271543e-05,1.4162834734565321e-05
Peter Pan,legacy-core,1.5943487603617384e-05,1.5953206197876476e-05,0.9999203370497419,1.5883143836682626e-05,1.59319372934025e-05,1.5951175326606847e-05
Anne of Green Gables,legacy-core,6.72179615561763e-06,6.735585135782348e-06,6.7201430608569426e-06,6.711525106844026e-06,6.7223041233098385e-06,0.9999663886464176
The Land of the Blue Flower,legacy-core,0.037582757966451004,0.06337076845189488,0.8987293026901085,0.00010573115971631184,0.00010556653228431229,0.00010587319954485947
The Emerald City of Oz,legacy-core,1.236696399924309e-05,1.2377913587562975e-05,0.0013267357069688495,0.4493751246852554,1.2410243598815944e-05,0.5492609844865901
Sky Island,legacy-core,1.2070012876233325e-05,1.2081351072584122e-05,0.9987009016582206,0.0012507796582638133,1.209072519137264e-05,1.2076594375573952e-05
At the Back of the North Wind,legacy-core,3.561039375349633e-05,3.564193000374044e-05,0.9998221563203294,3.5482977829452266e-05,3.554459500116128e-05,3.5563783082602186e-05
The Adventures of Old Mr. Toad,legacy-core,0.00012473531457178881,0.00012440019668779874,0.00012437082370149455,0.9993777005265645,0.00012441928938772062,0.00012437384908677276
The Velveteen Rabbit,legacy-core,0.013110413858888207,0.09167403455488994,0.35764647694770085,0.5371349490353323,0.00021686774505698717,0.00021725785813173933
