title,split,x,y
Alice's Adventures in Wonderland,expanded-core,0.38583551239717717,-0.3011766680788234
The Wonderful Wizard of Oz,expanded-core,0.4451686584463188,-0.04591488853180465
Rebecca of Sunnybrook Farm,expanded-core,0.38239371271849626,-0.015596844523128746
The Wind in the Willows,expanded-core,0.3490714314557302,-0.2155037828402997
The Secret Garden,expanded-core,0.4043866345689139,-0.017804434924191304
Sleepy Hollow,legacy-core,0.34220142532992853,0.09765912270434346
The White Old Maid,legacy-core,0.32923693660539943,0.08307053732815861
The Children of the New Forest,legacy-core,0.2721016466318959,0.36353524577778945
Rab and His Friends,legacy-core,0.3457275739975481,0.007146994272881853
Little Women,legacy-core,0.38988981311437376,-0.3582646289353021
What Katy Did,legacy-core,0.4157386777127636,-0.13563259016647766
Five Little Peppers and How They Grew,legacy-core,0.2598606752166053,-0.09595618972959588
Treasure Island,legacy-core,0.34880562803605525,0.08967084982907252
"We and the World, Part I",legacy-core,0.3912234927020751,-0.05642605713866203
Prince Prigio,legacy-core,0.4054563755699291,0.34263278953045545
The Pink Fairy Book,legacy-core,0.38250232464586453,0.2460341557172257
The Jungle Book,legacy-core,0.231879654300353,-0.010059147058627984
Peter Pan,legacy-core,0.3688207990955997,-0.2890236505198956
Anne of Green Gables,legacy-core,0.2918456630625445,-0.3643797626865834
The Land of the Blue Flower,legacy-core,0.4405912829204061,0.4234388711518133
The Emerald City of Oz,legacy-core,0.31708171674738517,0.4774178012926109
Sky Island,legacy-core,0.35207679668515873,-0.021871030765257423
At the Back of the North Wind,legacy-core,0.3146926418464567,-0.017697333229528597
The Adventures of Old Mr. Toad,legacy-core,0.008309734372126844,-0.00562611135852414
The Velveteen Rabbit,legacy-core,0.3416502434581617,-0.19817156262137464
